population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2000,4.75652141765,5.0066689891900005,4.4559455662
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2001,4.81429465276,5.07956866959,4.52224130284
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2002,4.88690866031,5.143266408170001,4.58356111266
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2004,4.9799731459,5.24167482855,4.69061995292
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2003,4.9538585165699995,5.20155745621,4.6538833107
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2005,5.09695995484,5.3657775369700005,4.81149244783
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2006,5.18332720227,5.46932867099,4.8717441602300005
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2007,5.3204006474700005,5.59200473607,4.98129643281
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2008,5.43378987426,5.70386777273,5.06126260206
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2009,5.46460198799,5.75241237353,5.09719809672
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2010,5.56399770725,5.867144607729999,5.18725846642
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2011,5.61366709322,5.91600070767,5.21238442711
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2012,5.7099192784,6.00130628877,5.27608091843
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2013,5.74796264138,6.06157111781,5.31511913792
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2014,5.82786615731,6.16205110734,5.41153488022
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2015,6.00104300968,6.311049452920001,5.57893338402
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2016,6.1565068514100005,6.480349776230001,5.6809423935100005
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2018,6.3874961714400005,6.73817915276,5.88213554233
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2017,6.31086899414,6.64091258067,5.81090421099
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2019,6.44185372018,6.82078703922,5.92984195011
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2020,6.53916918292,6.91002481317,6.0330257751400005
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2021,6.78047123704,7.17354886634,6.24456196149
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2022,7.063977549900001,7.492645293469999,6.383371790489999
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,456,Pancreatic cancer,3,Rate,2023,7.1689660372,7.6775284714500005,6.4879169874
